,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
PDAC_260,41.26773633,125.9359085,9.597148,0.746444843,96.50465,1
PDAC_279,77.44533588,26.43991079,7.304215,0.0,135.9903,1
PDAC_252,141.5262428,52.3510272,3.980106,261.2242554,177.3851,1
PDAC_280,86.12422154,50.63901448,2.830784,0.707323395,231.1362,1
PDAC_267,58.46858176,94.00694959,31.65894,1.524062558,235.3984,1
PDAC_274,46.73635139,80.51771414,13.93891,1.147910385,266.6432,1
PDAC_115,150.9977661,89.49120598,21.39894,1.264751816,304.1926,1
PDAC_226,52.100111,107.0593744,18.42565,17.1549146,340.5568,1
PDAC_235,90.82186804,131.697837,30.27396,0.122566624,356.4237,1
PDAC_151,154.7553593,72.38603658,5.128776,51.67483301,399.1878,1
PDAC_266,148.6703917,159.4976724,37.48605,1.00084107,415.349,1
PDAC_263,129.4786596,156.7923396,17.17899,0.0,451.971,1
PDAC_228,116.9793983,175.8635712,18.93474,0.0,469.4955,1
PDAC_241,184.467646,153.6015181,36.37504,0.72912113,485.3516,1
PDAC_022,133.4906345,73.23187127,17.57989,31.45316814,523.1075,1
PDAC_187,166.9299614,128.439845,4.741536,2.37076804,558.3856,1
PDAC_150,115.830959,152.1468129,10.68113,0.94943409,575.1197,1
PDAC_211,132.5625173,148.728678,20.81393,0.202077008,584.0026,1
PDAC_257,161.7332241,154.1640474,57.23224,0.193091242,607.8126,1
PDAC_237,135.1253353,192.2253203,34.14139,0.0,634.6231,1
PDAC_207,160.2260624,199.8682003,14.3651,0.0,679.2342,1
PDAC_091,669.4917822,509.3709463,13.92979,28.00319552,710.4913,1
PDAC_215,193.5772814,202.7691155,65.92054,0.068595777,738.3649,1
PDAC_181,237.0314544,171.3576419,46.62522,2.550439321,742.3372,1
PDAC_180,234.0178441,272.5053603,65.63496,2.405469763,753.7711,1
PDAC_198,267.3663411,211.6621332,50.1615,0.0,770.7134,1
PDAC_010,251.1403653,210.979326,44.0284,11.89956718,783.17,1
PDAC_217,193.0536328,175.5300765,23.41383,1.619824532,808.587,1
PDAC_045,326.5333223,193.5605115,40.96487,0.0,825.2258,1
PDAC_034,346.7648779,278.382844,11.44324,0.208058927,861.2946,1
PDAC_157,295.4419421,286.2245416,47.25131,1.600916928,893.5542,1
PDAC_042,157.9066376,287.1596053,13.39248,1806.634653,915.8793,1
PDAC_175,260.6022508,206.533074,77.70947,0.399329223,929.3988,1
PDAC_095,232.840653,235.3634644,146.6199,164.1311423,942.6411,1
PDAC_190,104.9917195,246.5532421,22.91009,1095.706536,960.5894,1
PDAC_023,496.3591007,522.6264212,37.14728,0.0,975.5434,1
PDAC_194,194.4730014,176.1177241,66.3733,0.077448427,994.0506,1
PDAC_029,218.520076,189.7012542,0.0,0.0,1022.185,1
PDAC_085,535.5312163,296.3582746,89.27615,7.121982851,1050.534,1
PDAC_138,174.9705692,183.4720939,139.3561,112.702645,1072.571,1
PDAC_155,307.4357608,361.5794237,45.05172,14.51213354,1090.858,1
PDAC_201,253.1353107,281.7921383,90.1496,0.597017242,1111.646,1
PDAC_046,395.9731467,483.4021803,130.5694,21.16012258,1140.514,1
PDAC_090,229.9016356,270.4314073,67.92231,19.84561232,1152.024,1
PDAC_031,290.7142904,274.5798933,61.48779,11.60889552,1166.399,1
PDAC_170,285.0358771,284.2214888,70.20026,0.325755288,1179.397,1
PDAC_169,151.8747464,192.4502384,46.01578,4.760253245,1201.851,1
PDAC_072,514.9247476,475.0576864,86.05632,0.074378846,1222.639,1
PDAC_149,151.1831319,246.1889252,80.54839,0.413068666,1258.62,1
PDAC_112,366.151655,374.8238309,60.95301,34.44092712,1304.481,1
PDAC_136,242.3516069,358.7243755,60.93621,5.939630911,1348.003,1
PDAC_064,295.9487156,277.1723083,20.94552,49.61852034,1370.678,1
PDAC_035,366.0362791,284.9007071,184.1296,13.70783636,1428.949,1
PDAC_067,227.512149,406.9964608,59.22682,75.76222207,1551.697,1
PDAC_116,174.5499751,234.249738,17.39913,2.953063137,1635.678,1
PDAC_110,368.963736,436.230898,109.0577,13.29699715,1765.372,1
PDAC_026,370.1056226,830.3363583,121.9039,2.75893203,1977.541,1
CP_046,44.58578253,97.46659436,9.035657,0.0,172.8625,0
N_112,328.5576957,360.9368729,56.24518,0.0,797.5828,0
N_037,472.9011223,448.1996176,44.70768,10.61552271,842.7092,0
N_115,261.3586272,299.5389758,119.0661,0.45957827,879.3146,0
N_110,322.3047467,275.1927538,20.55034,0.0,946.7833,0
N_035,379.4278906,393.937038,87.46552,0.136878748,981.4206,0
N_063,445.3169666,524.619988,83.80319,0.0,1016.239,0
N_024,340.3882164,349.0812914,127.4984,1.448845827,1025.873,0
CP_54,248.8386018,174.3686553,22.60334421,0.0,1045.001038,0
N_015,376.3281771,346.5616743,122.3564,0.0,1062.259,0
N_085,286.9915619,274.7050222,74.45276,0.0,1081.399,0
N_030,391.4354851,307.9179085,199.9489,31.55297447,1104.907,0
CP_87,709.1721902,520.3841701,71.67453486,8.790273144,1134.08047,0
CP_57,336.5853163,339.1514051,49.61105043,0.106920367,1167.35657,0
CP_77,467.375225,612.1374629,196.5415699,0.05235524,1203.804027,0
N_006,469.4049881,546.4024894,128.9374,0.0,1221.986,0
N_007,449.3942255,375.0453383,136.1229,0.078592904,1255.05,0
CP_49,416.3068734,342.7853302,104.2540211,0.0,1273.112596,0
CP_88,593.3002009,521.2095336,94.05735262,4.193639926,1293.638069,0
N_028,516.8417055,321.2994806,173.1739,8.864855738,1315.452,0
