,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
PDAC_276,35.47224942,48.18968076,1.53553,20.86691924,105.6535,1
PDAC_278,44.13507807,83.41842769,4.538714,0.0,107.3641,1
PDAC_259,23.73764432,57.64096142,4.843331,0.159670253,112.6208,1
PDAC_272,38.08960736,124.1705229,9.741996,2.954539774,135.7491,1
PDAC_255,136.3118356,71.97862059,7.506189,0.188475327,141.5555,1
PDAC_254,45.68636096,87.59467676,8.325692,0.0,153.7105,1
PDAC_284,33.06609412,76.97626552,7.941201,0.0,168.4335,1
PDAC_275,36.92008664,76.71706316,11.78155,0.0,172.8189,1
PDAC_265,44.25022989,78.96242436,6.645353,0.156361236,197.0152,1
PDAC_262,47.34430685,82.00972039,20.66733,0.073288401,218.1063,1
PDAC_245,47.93114123,84.25009877,6.423761,1.235338692,224.0904,1
PDAC_134,240.3822079,85.86312204,25.68401,0.0,227.0002,1
PDAC_273,139.4173017,71.26163888,3.407364,23.91471842,232.237,1
PDAC_192,188.089547,89.73887372,13.67136,4.624307753,232.5375,1
PDAC_130,207.0361701,156.0897629,12.35931,0.0,233.6831,1
PDAC_282,104.5604447,88.03155497,25.00813,2.396573808,234.1952,1
PDAC_258,100.2438999,122.305091,16.73422,1.614233493,246.6549,1
PDAC_167,149.4902989,43.18856095,2.539166,5.886505312,247.5206,1
PDAC_269,61.47481485,81.09869711,22.12693,0.200243697,254.71,1
PDAC_121,143.7444721,82.2066668,6.012387,41.08769615,257.5773,1
PDAC_143,115.9290172,122.3201215,66.28208,0.890860459,277.481,1
PDAC_247,65.27887836,132.7882423,16.35689,0.0,280.7438,1
PDAC_191,146.6227781,82.45376227,11.81412,20.52661875,289.8633,1
PDAC_281,181.745388,88.50617616,30.27632,0.4944244,297.5891,1
PDAC_271,81.10556652,80.05643979,20.98253,0.0,308.2819,1
PDAC_270,271.1651118,127.4131859,20.32629,0.0,319.5489,1
PDAC_186,116.361083,72.94782061,20.0659,2.147496135,323.8514,1
PDAC_283,185.1493455,89.98411069,23.93864,0.0,327.7703,1
PDAC_248,67.12813706,98.11035417,26.94106,1.459307327,343.274,1
PDAC_221,121.7691275,141.4750021,32.64347,0.239585101,351.1719,1
PDAC_224,119.4406833,251.9260829,28.12767,0.203823692,352.0035,1
PDAC_227,111.6816164,173.0363284,24.86269,1.403539164,354.4939,1
PDAC_277,73.61429939,186.5945343,26.11274,16.27125334,370.8271,1
PDAC_264,157.2749536,192.9639949,36.83338,0.0,376.6302,1
PDAC_098,128.3040208,123.1289581,20.15459,0.0,377.4167,1
PDAC_239,135.088232,155.1508407,31.43142,0.0,380.8552,1
PDAC_197,123.465287,162.9075974,39.65942,0.0,399.7062,1
PDAC_209,134.8233963,120.484719,25.55736,0.132765531,407.5238,1
PDAC_256,103.1162649,143.6883818,37.0914,1.305269176,408.9843,1
PDAC_261,118.1662562,192.7264616,21.98728,14.00306987,414.6874,1
PDAC_251,98.82033009,137.4968686,75.75634,1.951568458,425.4419,1
PDAC_253,127.3889521,151.1569051,38.62292,0.060632533,430.7335,1
PDAC_243,185.5615563,184.6031534,15.03955,0.147446608,432.6821,1
PDAC_125,242.507588,158.8888756,42.23122,16.74150534,434.7907,1
PDAC_240,72.83686618,91.95438094,27.07594,0.173009183,451.9865,1
PDAC_268,108.4467246,107.5570067,23.33038,0.0,452.0755,1
PDAC_154,117.2552264,117.2552264,30.30191,1.317474454,455.8462,1
PDAC_242,157.6696928,156.6330122,31.76012,0.09424369,458.4956,1
PDAC_159,191.1888344,87.35439075,17.8138,15.05018627,471.4696,1
PDAC_225,170.1292699,169.2953029,40.364,0.166793402,476.4454,1
PDAC_183,226.1530937,163.1545097,21.95661,1.857867088,477.8096,1
PDAC_220,66.33173767,133.4347746,30.38919,8.638551883,482.5248,1
PDAC_205,169.5066785,121.9518123,29.16698,0.528387402,490.1322,1
PDAC_216,79.67900743,183.546285,35.39313,0.0,491.2353,1
PDAC_244,183.21518,239.807318,42.95428,0.0,504.9492,1
PDAC_145,170.9487886,135.7133369,15.79499,54.77855724,510.8208,1
PDAC_087,442.3499526,108.776118,28.30757,11.39213687,531.2513,1
PDAC_249,98.60087307,112.6287933,23.19067,0.0,540.2776,1
PDAC_147,244.8312536,149.862922,14.29126,12.53666481,544.2154,1
PDAC_009,197.1177749,181.2656461,1.500074,45.04274946,555.7975,1
PDAC_233,132.9610302,202.8968735,44.50463,0.0,558.9339,1
PDAC_206,198.7556094,214.8233386,79.01801,8.58412931,562.3705,1
PDAC_103,127.7178093,112.718566,22.22479,1429.213613,563.3935,1
PDAC_161,220.6446845,210.7987488,57.91325,0.0,571.8848,1
PDAC_246,74.42993919,199.5102843,17.35906,20.68819396,579.0316,1
PDAC_236,131.3519001,197.06284,52.83467,1.959431647,581.2514,1
PDAC_163,100.9473163,210.6058223,36.89445,1.537268776,583.1373,1
PDAC_193,95.62783716,133.8608091,33.96468,0.0,583.6658,1
PDAC_182,154.6399479,141.8953903,44.42645,0.0,585.1726,1
PDAC_223,124.4455618,196.7648693,49.46515,1.095747085,591.1556,1
PDAC_208,183.6192907,199.6994537,58.12215,0.449166562,597.661,1
PDAC_132,221.6537284,183.0698124,97.34287,1.426518019,604.5719,1
PDAC_231,136.2798716,133.7146034,18.59819,0.106886174,611.282,1
PDAC_213,132.7476422,225.6007962,53.19265,0.0,612.2225,1
PDAC_200,221.753371,148.668999,26.15651,1.057800122,619.6785,1
PDAC_172,308.6978856,230.2685448,42.03813,0.268900597,627.1658,1
PDAC_214,167.0188307,180.5463568,26.59389,0.61488755,635.3326,1
PDAC_196,177.0095467,208.6237202,79.4828,6.26318531,638.994,1
PDAC_043,155.8671483,150.5039776,41.89977,1373.737865,655.5518,1
PDAC_019,235.2386845,273.0176653,76.96587,47.8690191,664.1826,1
PDAC_176,174.6183662,160.2840227,47.49156,0.434374045,690.0756,1
PDAC_218,172.6827641,130.4932251,22.5665,3.924608275,692.6934,1
PDAC_071,164.5194221,229.1875477,32.86413,1514.135253,703.9284,1
PDAC_137,190.8039568,336.7258704,90.86956,435.1126152,708.8268,1
PDAC_006,142.802404,199.7206036,75.69783,1.255193544,723.957,1
PDAC_185,137.5487634,87.23594137,14.40407,81.1497129,726.8986,1
PDAC_178,251.7783569,204.6813751,71.73981,0.0,735.0696,1
PDAC_202,234.520108,187.0629042,56.91953,0.873445467,736.6057,1
PDAC_189,234.4933076,207.385776,43.77559,0.0,739.4478,1
PDAC_092,80.31584052,241.9046984,104.5063,1.2182251,739.7237,1
PDAC_065,248.7134757,242.0396717,131.6934,78.07436437,740.198,1
PDAC_126,241.0868947,226.2209468,83.37858,2.585382249,740.712,1
PDAC_146,106.703286,200.7540084,42.59696,3.374016949,747.3448,1
PDAC_002,183.8145966,227.1272314,133.1071,1.056405727,750.0481,1
PDAC_173,221.7405115,249.4580754,48.78291,4.43481023,752.2547,1
PDAC_174,203.121215,283.2808038,27.13867,0.335045303,753.2656,1
PDAC_166,289.0924903,281.7043063,148.9553,0.0,754.3098,1
PDAC_195,239.1145648,265.2622178,57.31354,0.616274651,755.9929,1
PDAC_048,337.8794989,234.6251445,36.89378,0.0,768.1622,1
PDAC_018,228.1932704,343.3552081,8.740944,11.25396545,770.6781,1
PDAC_162,257.9879259,160.9368438,51.02357,0.0,772.1567,1
PDAC_038,556.0816181,470.2711797,109.7924,5.246053001,774.5423,1
PDAC_061,139.8202335,172.6416373,8.323887,1051.23321,779.2318,1
PDAC_219,97.57073711,182.1447845,23.50872,0.382255581,779.5147,1
PDAC_044,277.632348,278.2666945,108.4733,0.052862214,788.017,1
PDAC_229,383.2256226,236.7668176,38.1882,1.343658762,790.5664,1
PDAC_012,367.4311603,274.5700271,22.28114,0.092261434,792.987,1
PDAC_199,194.7595242,153.319084,106.9227,2.952499554,802.0254,1
PDAC_203,187.6367666,216.7396121,48.24945,0.574398265,812.5821,1
PDAC_238,233.3744024,273.2188126,111.7713,6.72697834,820.1739,1
PDAC_133,286.2625165,187.4756051,51.9546,31.1727587,820.5899,1
PDAC_184,193.9279775,254.6883351,66.93462,0.070162076,820.6858,1
PDAC_079,322.2561268,249.0919944,116.6528,19.50537555,826.7395,1
PDAC_041,258.6149745,382.7251316,120.2513,2.850709491,829.6608,1
PDAC_164,139.7381258,198.6229113,19.70376,0.226479945,846.1291,1
PDAC_077,239.6251514,366.6140011,67.02016,2.74570486,851.2933,1
PDAC_049,508.2320032,494.618646,62.36389,0.245285716,870.3964,1
PDAC_210,210.5431541,270.3983151,37.33655,0.350030181,871.3418,1
PDAC_052,143.0460393,164.3424033,31.05993,6.749309228,881.5384,1
PDAC_081,176.077184,189.1273744,110.4749,51.99998936,892.3821,1
PDAC_234,234.7372301,232.797253,98.29217,40.09286024,897.5627,1
PDAC_120,188.0149096,209.1048875,101.4114,160.0445133,899.6895,1
PDAC_140,361.0864954,310.0817613,67.89372,0.168889848,905.2496,1
PDAC_230,229.8891925,247.827959,95.49468,0.0,908.1013,1
PDAC_128,337.4692457,199.2468442,48.18077,0.0,917.4053,1
PDAC_212,198.4287318,168.4399551,43.72615,0.0,918.7879,1
PDAC_059,293.8832046,385.6973133,28.3931,40.93094433,919.068,1
